Record_ID,Car_Model,Model_Year,Mileage_KM,Fault_Category,Fault_Type,Severity,Parts_Required,Parts_Availability,Garage_Type,Mechanic_Expertise,Location,Day_of_Week,Time_of_Day,Actual_Repair_Hours
35,Suzuki Alto,2020,69463,Electrical,Wiper Motor Failure,Minor,Wiper Motor,In Stock,Local,8,Dehiwala,Tuesday,Evening,1.25
36,Suzuki Alto,2020,60329,Transmission,Transmission Jerking,Moderate,Transmission Fluid,In Stock,Local,7,Borella,Thursday,Evening,3.5
37,Suzuki Alto,2019,87923,Electrical,Sensor Malfunction,Minor,O2 Sensor,In Stock,Authorized,10,Akuressa,Saturday,Afternoon,2.5
38,Suzuki Alto,2011,187786,Engine,Engine Mount Worn,Moderate,Engine Mount Set,In Stock,Authorized,1,Thalalla,Wednesday,Afternoon,6.5
39,Suzuki Alto,2021,47154,Transmission,Transmission Jerking,Moderate,Transmission Fluid,In Stock,Local,11,Nupe,Tuesday,Morning,1.0
40,Suzuki Alto,2019,82481,Engine,Throttle Body Cleaning,Minor,Cleaning Service,In Stock,Local,18,Maradana,Monday,Morning,1.0
41,Suzuki Alto,2015,120217,Electrical,Alternator Belt,Minor,Alternator Belt,In Stock,Local,10,Akuressa,Friday,Morning,1.0
42,Suzuki Alto,2019,79006,Engine,Oil Leak (Gasket),Minor,Gasket Set,In Stock,Authorized,13,Ratmalana,Saturday,Morning,3.0
43,Suzuki Alto,2018,98072,Brake,Brake Pad Wear,Minor,Brake Pads Front,In Stock,Local,20,Kolonnawa,Saturday,Morning,2.5
44,Suzuki Alto,2019,70555,Engine,Overheating (Thermostat+Coolant),Major,Thermostat+Coolant,In Stock,Authorized,6,Kirinda Puhulwella,Thursday,Morning,4.0
45,Suzuki Alto,2017,101425,Body,Door Lock Issue,Minor,Door Lock Mechanism,In Stock,Local,10,Kamburupitiya,Thursday,Afternoon,2.0
46,Suzuki Alto,2019,83659,Body,Rust Treatment,Minor,Paint+Protection,In Stock,Authorized,4,Kolonnawa,Thursday,Evening,6.0
47,Suzuki Alto,2020,57909,Electrical,Alternator+Battery Problem,Moderate,Alternator+Battery,In Stock,Authorized,22,Paburana,Monday,Morning,3.0
48,Suzuki Alto,2018,90409,AC,Compressor Failure,Major,Compressor+Belt,Order Required,Authorized,2,Walgama,Thursday,Morning,17.5
49,Suzuki Alto,2021,50614,Engine,Throttle Body Cleaning,Minor,Cleaning Service,In Stock,Local,23,Athuraliya,Thursday,Morning,0.8
50,Suzuki Alto,2016,117310,Engine,Crankshaft Sensor Issue,Moderate,Crankshaft Sensor,In Stock,Authorized,15,Nawimana,Saturday,Morning,3.5
51,Suzuki Alto,2014,139205,Brake,Brake Disc Warped,Moderate,Front Brake Discs,In Stock,Authorized,3,Paburana,Tuesday,Morning,6.0
52,Suzuki Alto,2015,137607,Brake,ABS Sensor Fault,Moderate,ABS Sensor,Order Required,Local,14,Nupe,Friday,Evening,7.0
53,Suzuki Alto,2017,105121,Engine,Oil Leak (Valve Cover),Moderate,Valve Cover Gasket,In Stock,Local,17,Gandara,Tuesday,Evening,2.5
54,Suzuki Alto,2015,127509,Engine,High Fuel Consumption,Moderate,Fuel Injectors+Filter,In Stock,Local,3,Kirulapone,Friday,Morning,6.0
55,Suzuki Alto,2021,61886,AC,Blower Motor Issues,Minor,Blower Motor,In Stock,Authorized,6,Athuraliya,Friday,Afternoon,3.5
56,Suzuki Alto,2018,86570,Electrical,Complete Alternator Failure,Major,Alternator Complete,In Stock,Local,21,Kamburupitiya,Wednesday,Evening,3.5
57,Suzuki Alto,2013,162574,Transmission,Transmission Jerking,Moderate,Transmission Fluid,In Stock,Local,12,Dikwella,Wednesday,Evening,2.5
58,Suzuki Alto,2019,85163,Engine,Oil Leak (Gasket),Minor,Gasket Set,In Stock,Local,15,Nupe,Saturday,Evening,2.5
59,Suzuki Alto,2019,71161,Engine,Oil Leak (Gasket),Minor,Gasket Set,In Stock,Authorized,6,Bambalapitiya,Thursday,Afternoon,2.5
60,Suzuki Alto,2014,124910,Brake,Brake Noise,Minor,Brake Pad Shims,In Stock,Local,1,Havelock Town,Friday,Morning,2.0
61,Suzuki Alto,2017,104569,Suspension,Ball Joint Wear,Moderate,Ball Joints Both,Order Required,Local,16,Kotapola,Monday,Morning,6.5
62,Suzuki Alto,2018,83010,Engine,Spark Plug Change,Minor,Spark Plugs,In Stock,Local,3,Dikwella,Monday,Afternoon,1.1
63,Suzuki Alto,2020,55175,Brake,Brake Noise,Minor,Brake Pad Shims,Order Required,Local,2,Dikwella,Wednesday,Morning,1.8
64,Suzuki Alto,2019,89505,Electrical,Wiper Motor Failure,Minor,Wiper Motor,In Stock,Authorized,2,Walgama,Wednesday,Afternoon,3.0
65,Suzuki Alto,2015,128085,Engine,High Fuel Consumption,Moderate,Fuel Injectors+Filter,Order Required,Local,5,Maradana,Tuesday,Morning,7.0
66,Suzuki Alto,2019,73457,AC,AC Belt,Minor,AC Belt,In Stock,Local,10,Maradana,Thursday,Evening,1.0
67,Suzuki Alto,2016,101472,Engine,Spark Plug Change,Minor,Spark Plugs,Order Required,Authorized,7,Nupe,Monday,Afternoon,3.0
68,Suzuki Alto,2021,42449,AC,AC Not Cooling,Moderate,Compressor,Order Required,Authorized,6,Mulatiyana,Monday,Morning,20.0
69,Suzuki Alto,2021,58002,Suspension,Tie Rod End,Moderate,Tie Rod Ends+Alignment,In Stock,Local,24,Dikwella,Friday,Morning,4.0
70,Suzuki Alto,2018,78456,Engine,Spark Plug Change,Minor,Spark Plugs,In Stock,Local,5,Nawimana,Monday,Morning,2.5
71,Suzuki Alto,2016,110409,Transmission,Transmission Jerking,Moderate,Transmission Fluid,Order Required,Local,14,Dondra,Tuesday,Afternoon,2.0
72,Suzuki Alto,2020,79011,Engine,Overheating (Thermostat+Coolant),Major,Thermostat+Coolant,In Stock,Local,11,Nupe,Monday,Morning,4.0
73,Suzuki Alto,2019,64548,Electrical,Headlight Not Working,Minor,Headlight Bulb,In Stock,Authorized,6,Seethawaka,Saturday,Evening,0.8
74,Suzuki Alto,2018,86385,AC,AC Not Cooling,Moderate,Compressor,In Stock,Authorized,8,Malimbada,Thursday,Afternoon,5.0
75,Suzuki Alto,2017,106085,AC,AC Pressure Switch,Minor,Pressure Switch,In Stock,Local,17,Thihagoda,Friday,Morning,1.7
76,Suzuki Alto,2019,82873,AC,AC Pressure Switch,Minor,Pressure Switch,In Stock,Authorized,2,Devinuwara,Thursday,Morning,4.0
77,Suzuki Alto,2019,88803,AC,AC Filter,Minor,Cabin Filter,In Stock,Local,4,Bambalapitiya,Wednesday,Morning,0.7
78,Suzuki Alto,2015,138188,AC,Evaporator Leak,Major,Evaporator Core,In Stock,Authorized,22,Devinuwara,Friday,Morning,6.5
79,Suzuki Alto,2014,149246,Engine,Spark Plug Change,Minor,Spark Plugs,In Stock,Local,6,Seethawaka,Thursday,Afternoon,1.9
80,Suzuki Alto,2020,61775,Engine,Oil Leak (Gasket),Minor,Gasket Set,Order Required,Authorized,15,Kaduwela,Saturday,Afternoon,4.5
81,Suzuki Alto,2013,146493,Engine,Coolant Leak,Moderate,Radiator Hose,In Stock,Authorized,2,Kaduwela,Friday,Morning,4.5
82,Suzuki Alto,2020,62626,AC,AC Resistor,Minor,Blower Resistor,In Stock,Authorized,1,Kaduwela,Saturday,Evening,2.0
83,Suzuki Alto,2017,98123,Electrical,Alternator Belt,Minor,Alternator Belt,In Stock,Local,15,Pallimulla,Tuesday,Evening,1.0
84,Suzuki Alto,2017,91541,Brake,Brake Pad Wear,Minor,Brake Pads Front,In Stock,Authorized,7,Welipitiya,Friday,Evening,2.0
85,Suzuki Alto,2021,54486,Suspension,Stabilizer Link Noise,Minor,Stabilizer Links,In Stock,Local,21,Nupe,Wednesday,Afternoon,0.9
86,Suzuki Alto,2019,85019,Transmission,Transmission Jerking,Moderate,Transmission Fluid,In Stock,Authorized,1,Akuressa,Saturday,Evening,4.5
87,Suzuki Alto,2015,128009,Engine,Misfiring,Moderate,Spark Plugs+Ignition Coil,In Stock,Authorized,11,Athuraliya,Monday,Evening,5.5
88,Suzuki Alto,2015,136594,Electrical,Battery Drain,Minor,Battery,In Stock,Authorized,3,Walgama,Monday,Morning,4.0
89,Suzuki Alto,2012,166927,Body,Tail Light Not Working,Minor,Tail Light Assembly,In Stock,Local,15,Kirulapone,Monday,Evening,0.8
90,Suzuki Alto,2016,125987,Transmission,Transmission Jerking,Moderate,Transmission Fluid,In Stock,Authorized,22,Kaduwela,Tuesday,Morning,1.2
91,Suzuki Alto,2012,151993,Body,Tail Light Not Working,Minor,Tail Light Assembly,In Stock,Local,22,Kesbewa,Wednesday,Morning,0.4
92,Suzuki Alto,2019,87624,Engine,Overheating (Thermostat+Coolant),Major,Thermostat+Coolant,In Stock,Local,5,Kotapola,Friday,Afternoon,4.0
93,Suzuki Alto,2020,58202,Electrical,Fuel Pump Failure,Moderate,Fuel Pump,Order Required,Authorized,15,Weligama,Saturday,Morning,11.0
94,Suzuki Alto,2011,187513,Brake,Brake Disc Warped,Moderate,Front Brake Discs,In Stock,Authorized,14,Kesbewa,Saturday,Morning,4.0
95,Suzuki Alto,2018,99454,AC,AC Belt,Minor,AC Belt,In Stock,Authorized,12,Nawimana,Friday,Evening,1.3
96,Suzuki Alto,2015,124174,AC,AC Not Cooling,Moderate,Compressor,In Stock,Authorized,14,Pallimulla,Saturday,Evening,11.5
97,Suzuki Alto,2012,151512,Engine,Oil Leak (Valve Cover),Moderate,Valve Cover Gasket,In Stock,Local,24,Kamburupitiya,Wednesday,Afternoon,2.0
98,Suzuki Alto,2018,100891,Electrical,Alternator Belt,Minor,Alternator Belt,In Stock,Authorized,1,Pallimulla,Monday,Morning,2.0
99,Suzuki Alto,2020,59607,Engine,Spark Plug Change,Minor,Spark Plugs,In Stock,Local,6,Kirulapone,Tuesday,Morning,1.3
100,Suzuki Alto,2011,179342,AC,AC Belt,Minor,AC Belt,In Stock,Local,15,Gandara,Wednesday,Evening,1.1
101,Suzuki Alto,2020,79751,Brake,Brake Fluid Leak,Moderate,Brake Lines,In Stock,Local,3,Ratmalana,Saturday,Afternoon,4.0
102,Suzuki Alto,2021,52174,AC,Condenser Fan,Moderate,Condenser Fan Motor,In Stock,Authorized,22,Dikwella,Wednesday,Morning,7.5
103,Suzuki Alto,2017,96843,AC,AC Gas Refill,Minor,Refrigerant Gas,Order Required,Authorized,22,Mulatiyana,Monday,Evening,4.0
104,Suzuki Alto,2016,108689,Brake,Weak Braking,Moderate,Brake Pads+Rotors,In Stock,Local,1,Dehiwala,Monday,Afternoon,6.0
105,Suzuki Alto,2016,123194,Transmission,Gearbox Oil Leak,Moderate,Oil Seal,Order Required,Local,8,Dikwella,Friday,Evening,12.0
106,Suzuki Alto,2015,117679,Body,Side Mirror Broken,Minor,Side Mirror,In Stock,Authorized,14,Kotapola,Thursday,Afternoon,1.3
107,Suzuki Alto,2011,165535,Brake,Brake Pad Wear,Minor,Brake Pads Front,In Stock,Authorized,3,Meddawatta,Thursday,Morning,4.5
108,Suzuki Alto,2015,130963,AC,Compressor Failure,Major,Compressor+Belt,In Stock,Local,22,Devinuwara,Monday,Afternoon,6.0
109,Suzuki Alto,2018,99446,Body,Door Lock Issue,Minor,Door Lock Mechanism,In Stock,Authorized,1,Kotapola,Saturday,Evening,4.5
110,Suzuki Alto,2014,139237,Electrical,Wiper Motor Failure,Minor,Wiper Motor,In Stock,Authorized,6,Welipitiya,Wednesday,Afternoon,0.3
111,Suzuki Alto,2015,112024,Brake,ABS Sensor Fault,Moderate,ABS Sensor,In Stock,Authorized,5,Devinuwara,Wednesday,Afternoon,4.0
112,Suzuki Alto,2015,131272,Engine,Oil Leak (Gasket),Minor,Gasket Set,In Stock,Authorized,11,Nawimana,Friday,Morning,3.0
113,Suzuki Alto,2016,117343,Suspension,Stabilizer Link Noise,Minor,Stabilizer Links,In Stock,Local,10,Dehiwala,Wednesday,Afternoon,1.8
114,Suzuki Alto,2015,116973,Transmission,Gear Selector Cable,Minor,Selector Cable,Order Required,Authorized,9,Kesbewa,Tuesday,Afternoon,2.0
115,Suzuki Alto,2018,97109,AC,AC Pressure Switch,Minor,Pressure Switch,In Stock,Authorized,21,Thalalla,Monday,Morning,1.7
116,Suzuki Alto,2017,110934,Engine,Spark Plug Change,Minor,Spark Plugs,In Stock,Local,25,Dondra,Friday,Morning,1.0
117,Suzuki Alto,2016,119862,Engine,Coolant Leak,Moderate,Radiator Hose,In Stock,Local,13,Borella,Saturday,Afternoon,3.0
118,Suzuki Alto,2017,90781,Suspension,Strut Mount,Moderate,Strut Mounting,In Stock,Local,22,Dikwella,Friday,Morning,2.5
119,Suzuki Alto,2016,101425,Engine,Timing Belt Failure,Major,Timing Belt Kit,In Stock,Local,1,Nupe,Wednesday,Afternoon,14.5
120,Suzuki Alto,2017,97864,AC,AC Not Cooling,Moderate,Compressor,In Stock,Authorized,5,Pallimulla,Wednesday,Morning,8.0
121,Suzuki Alto,2015,127613,Electrical,Fuel Pump Failure,Moderate,Fuel Pump,In Stock,Authorized,13,Kolonnawa,Thursday,Afternoon,6.0
122,Suzuki Alto,2021,40343,Electrical,Horn Not Working,Minor,Horn Relay,In Stock,Local,2,Hiththetiya,Friday,Evening,2.0
123,Suzuki Alto,2015,128633,Electrical,Complete Alternator Failure,Major,Alternator Complete,In Stock,Local,9,Nawimana,Thursday,Evening,2.5
124,Suzuki Alto,2020,61503,Electrical,Headlight Not Working,Minor,Headlight Bulb,In Stock,Local,21,Kolonnawa,Tuesday,Afternoon,0.4
125,Suzuki Alto,2018,99884,Engine,Oil Leak (Valve Cover),Moderate,Valve Cover Gasket,Order Required,Authorized,23,Kolonnawa,Tuesday,Morning,7.0
126,Suzuki Alto,2019,78010,Electrical,Bulb Blown,Minor,Bulbs+Fuses,In Stock,Authorized,2,Kollupitiya,Monday,Morning,0.8
127,Suzuki Alto,2015,125221,Transmission,Transmission Mount,Minor,Transmission Mount,In Stock,Local,6,Havelock Town,Saturday,Morning,4.0
128,Suzuki Alto,2013,136459,Suspension,Wheel Bearing Noise,Moderate,Front Wheel Bearing,In Stock,Local,19,Pitabeddara,Saturday,Evening,6.0
129,Suzuki Alto,2019,64138,Engine,Throttle Body Cleaning,Minor,Cleaning Service,In Stock,Local,4,Dehiwala,Friday,Evening,1.2
130,Suzuki Alto,2015,113253,Brake,Master Cylinder Failure,Major,Master Cylinder,Order Required,Local,17,Dondra,Wednesday,Evening,6.5
131,Suzuki Alto,2015,125399,Electrical,Alternator+Battery Problem,Moderate,Alternator+Battery,Order Required,Authorized,1,Gandara,Saturday,Morning,8.0
132,Suzuki Alto,2015,116842,AC,AC Resistor,Minor,Blower Resistor,Order Required,Authorized,6,Matara,Saturday,Afternoon,2.5
133,Suzuki Alto,2021,50974,Transmission,Reverse Gear Failure,Major,Transmission Rebuild,In Stock,Local,11,Dondra,Saturday,Evening,54.0
134,Suzuki Alto,2015,135465,Transmission,Transmission Jerking,Moderate,Transmission Fluid,In Stock,Authorized,20,Maradana,Tuesday,Evening,2.5
135,Suzuki Alto,2020,53269,Suspension,Sway Bar Links,Minor,Sway Bar Link Set,In Stock,Authorized,16,Kaduwela,Tuesday,Afternoon,1.7
136,Suzuki Alto,2016,103594,Engine,High Fuel Consumption,Moderate,Fuel Injectors+Filter,In Stock,Local,8,Hiththetiya,Saturday,Morning,4.0
137,Suzuki Alto,2017,114309,Body,Window Glass Crack,Minor,Window Glass,Order Required,Local,3,Dikwella,Tuesday,Morning,5.0
138,Suzuki Alto,2015,130947,Engine,Oil Leak (Gasket),Minor,Gasket Set,In Stock,Local,17,Dehiwala,Tuesday,Afternoon,3.0
139,Suzuki Alto,2016,125367,AC,AC Belt,Minor,AC Belt,In Stock,Local,17,Hiththetiya,Tuesday,Evening,1.3
140,Suzuki Alto,2021,62494,Transmission,Transmission Mount,Minor,Transmission Mount,In Stock,Authorized,22,Hiththetiya,Wednesday,Morning,2.0
141,Suzuki Alto,2013,162805,Suspension,Tie Rod End,Moderate,Tie Rod Ends+Alignment,Order Required,Authorized,11,Weligama,Monday,Afternoon,5.0
142,Suzuki Alto,2013,161431,Electrical,Sensor Malfunction,Minor,O2 Sensor,In Stock,Authorized,23,Maradana,Tuesday,Afternoon,1.8
143,Suzuki Alto,2020,58568,Electrical,Horn Not Working,Minor,Horn Relay,In Stock,Authorized,12,Nupe,Wednesday,Afternoon,1.0
144,Suzuki Alto,2011,180939,Electrical,Alternator Belt,Minor,Alternator Belt,In Stock,Local,4,Kesbewa,Friday,Morning,1.1
145,Suzuki Alto,2013,151004,Engine,Throttle Body Cleaning,Minor,Cleaning Service,In Stock,Authorized,5,Akuressa,Friday,Afternoon,1.7
146,Suzuki Alto,2021,46412,Engine,Coolant Leak,Moderate,Radiator Hose,Order Required,Local,23,Kamburupitiya,Monday,Morning,2.0
147,Suzuki Alto,2021,40515,Electrical,Headlight Not Working,Minor,Headlight Bulb,In Stock,Authorized,12,Kaduwela,Saturday,Evening,0.6
148,Suzuki Alto,2011,187906,Suspension,Sway Bar Links,Minor,Sway Bar Link Set,In Stock,Local,3,Welipitiya,Tuesday,Evening,3.0
149,Suzuki Alto,2020,57225,Body,Window Glass Crack,Minor,Window Glass,In Stock,Local,22,Weligama,Monday,Evening,2.5
150,Suzuki Alto,2018,86208,Transmission,Gearbox Oil Leak,Moderate,Oil Seal,In Stock,Authorized,23,Akuressa,Wednesday,Afternoon,3.0
151,Suzuki Alto,2017,97999,AC,AC Pressure Switch,Minor,Pressure Switch,Order Required,Authorized,17,Kirulapone,Monday,Morning,3.0
152,Suzuki Alto,2017,103744,Suspension,Control Arm Bushings,Moderate,Lower Arm Bushings,In Stock,Authorized,1,Meddawatta,Saturday,Evening,7.0
153,Suzuki Alto,2012,168557,AC,AC Not Cooling,Moderate,Compressor,In Stock,Authorized,11,Borella,Wednesday,Morning,6.5
154,Suzuki Alto,2017,96984,Engine,Engine Mount Worn,Moderate,Engine Mount Set,In Stock,Local,23,Modara,Friday,Evening,6.0
155,Suzuki Alto,2019,75704,AC,Blower Motor Issues,Minor,Blower Motor,Order Required,Local,15,Modara,Monday,Afternoon,4.0
156,Suzuki Alto,2019,88704,Electrical,Battery Drain,Minor,Battery,In Stock,Local,2,Walgama,Thursday,Evening,2.5
157,Suzuki Alto,2013,146728,Electrical,Horn Not Working,Minor,Horn Relay,Order Required,Authorized,5,Matara,Friday,Afternoon,0.7
158,Suzuki Alto,2017,88786,Suspension,Shock Absorber Noise,Moderate,Front Shocks,Order Required,Local,4,Kesbewa,Tuesday,Evening,5.0
159,Suzuki Alto,2012,165215,Electrical,Battery Drain,Minor,Battery,In Stock,Local,2,Seethawaka,Friday,Morning,2.5
160,Suzuki Alto,2016,109124,Engine,Oil Leak (Gasket),Minor,Gasket Set,In Stock,Local,17,Dondra,Friday,Evening,1.8
161,Suzuki Alto,2017,115486,Brake,ABS Sensor Fault,Moderate,ABS Sensor,Order Required,Local,4,Dondra,Wednesday,Evening,4.0
162,Suzuki Alto,2016,114919,Electrical,Sensor Malfunction,Minor,O2 Sensor,In Stock,Authorized,4,Nupe,Tuesday,Morning,1.6
163,Suzuki Alto,2011,165498,Brake,Brake Noise,Minor,Brake Pad Shims,In Stock,Authorized,6,Welipitiya,Wednesday,Morning,2.0
164,Suzuki Alto,2015,123943,Transmission,Gearbox Oil Leak,Moderate,Oil Seal,In Stock,Authorized,6,Dikwella,Thursday,Morning,4.5
165,Suzuki Alto,2017,90161,Electrical,Bulb Blown,Minor,Bulbs+Fuses,In Stock,Authorized,12,Kirinda Puhulwella,Thursday,Evening,1.3
166,Suzuki Alto,2019,79223,Brake,Weak Braking,Moderate,Brake Pads+Rotors,In Stock,Local,9,Seethawaka,Monday,Morning,4.5
167,Suzuki Alto,2021,54185,Engine,Coolant Leak,Moderate,Radiator Hose,In Stock,Authorized,11,Pasgoda,Wednesday,Afternoon,3.0
168,Suzuki Alto,2019,88262,Suspension,Stabilizer Link Noise,Minor,Stabilizer Links,In Stock,Authorized,11,Slave Island,Saturday,Afternoon,2.0
169,Suzuki Alto,2011,177547,Brake,Brake Booster Failure,Major,Brake Booster,Order Required,Authorized,15,Nupe,Saturday,Afternoon,8.5
170,Suzuki Alto,2017,110937,AC,Refrigerant Leak,Moderate,Condenser,In Stock,Local,11,Meddawatta,Friday,Evening,5.5
171,Suzuki Alto,2018,97905,Engine,Head Gasket Leak,Major,Head Gasket Kit,In Stock,Authorized,5,Paburana,Tuesday,Evening,13.0
172,Suzuki Alto,2017,114449,Transmission,Gear Selector Cable,Minor,Selector Cable,Order Required,Local,13,Dikwella,Friday,Evening,4.0
173,Suzuki Alto,2021,52302,Transmission,Gear Selector Cable,Minor,Selector Cable,In Stock,Local,12,Kollupitiya,Monday,Afternoon,2.0
174,Suzuki Alto,2019,69116,AC,Blower Motor Issues,Minor,Blower Motor,In Stock,Local,6,Kirinda Puhulwella,Wednesday,Evening,3.0
175,Suzuki Alto,2014,136807,AC,AC Pressure Switch,Minor,Pressure Switch,In Stock,Authorized,1,Ratmalana,Thursday,Evening,3.0
176,Suzuki Alto,2013,154292,Electrical,Horn Not Working,Minor,Horn Relay,In Stock,Local,2,Paburana,Saturday,Afternoon,0.8
177,Suzuki Alto,2019,79764,Transmission,Hard Gear Shifting,Moderate,Clutch Plate,In Stock,Local,2,Kollupitiya,Thursday,Afternoon,41.0
178,Suzuki Alto,2016,123335,Engine,Spark Plug Change,Minor,Spark Plugs,In Stock,Authorized,6,Thalalla,Saturday,Morning,1.5
179,Suzuki Alto,2021,51195,Engine,Piston Ring Wear,Major,Piston Rings+Honing,In Stock,Authorized,7,Thalalla,Tuesday,Evening,13.5
180,Suzuki Alto,2019,80323,Brake,Master Cylinder Failure,Major,Master Cylinder,Order Required,Local,11,Malimbada,Wednesday,Afternoon,10.0
181,Suzuki Alto,2018,95659,Engine,Spark Plug Change,Minor,Spark Plugs,In Stock,Local,14,Kamburupitiya,Friday,Evening,1.4
182,Suzuki Alto,2011,176779,Electrical,Alternator Belt,Minor,Alternator Belt,In Stock,Local,2,Mulatiyana,Saturday,Afternoon,1.5
183,Suzuki Alto,2016,120502,Electrical,Battery Drain,Minor,Battery,In Stock,Authorized,6,Pallimulla,Monday,Evening,2.5
184,Suzuki Alto,2015,137984,Body,Side Mirror Broken,Minor,Side Mirror,In Stock,Local,10,Nawimana,Saturday,Afternoon,1.2
