Record_ID,Car_Model,Model_Year,Mileage_KM,Fault_Category,Fault_Type,Severity,Parts_Required,Parts_Availability,Garage_Type,Mechanic_Expertise,Location,Day_of_Week,Time_of_Day,Actual_Repair_Hours
37,Suzuki Alto,2020,20018,Electrical,Starter Motor Fault,Minor,Starter Motor,In Stock,Local,7,Dikwella,Saturday,Evening,1.3
38,Suzuki Alto,2011,598621,Engine,Fuel Injector Clog,Minor,Injector Cleaning,In Stock,Local,9,Modara,Sunday,Evening,1.1
39,Suzuki Alto,2011,42759,Engine,Timing Belt Noise,Major,Timing Belt Kit,In Stock,Authorized,16,Paburana,Friday,Evening,11.4
40,Suzuki Alto,2022,7182,Electrical,Power Window Stuck,Moderate,Window Motor/Regulator,In Stock,Authorized,20,Kotapola,Wednesday,Morning,1.4
41,Suzuki Alto,2019,56910,Engine,Timing Belt Noise,Moderate,Timing Belt Kit,In Stock,Local,22,Devinuwara,Tuesday,Morning,2.7
42,Suzuki Alto,2015,101947,Electrical,Power Window Stuck,Moderate,Window Motor/Regulator,In Stock,Local,3,Kirinda Puhulwella,Thursday,Afternoon,2.6
43,Suzuki Alto,2019,25755,Engine,Coolant Leak,Moderate,Radiator Hose/Pipe,In Stock,Local,14,Malimbada,Tuesday,Afternoon,1.6
44,Suzuki Alto,2021,10940,Electrical,Starter Motor Fault,Moderate,Starter Motor,In Stock,Authorized,5,Kirulapone,Thursday,Morning,2.9
45,Suzuki Alto,2013,394606,Suspension,Wheel Bearing Noise,Moderate,Wheel Bearing,Order Required,Local,23,Dondra,Wednesday,Evening,2.4
46,Suzuki Alto,2015,132723,Engine,Oil Leak (Gasket),Moderate,Valve Cover Gasket,In Stock,Authorized,8,Nawimana,Saturday,Morning,3.1
47,Suzuki Alto,2014,184257,Transmission,Clutch Slipping,Major,Clutch Plate Set,In Stock,Local,2,Hiththetiya,Monday,Evening,18.2
48,Suzuki Alto,2020,172450,Electrical,Battery Drain,Moderate,Battery,In Stock,Local,8,Kirinda Puhulwella,Thursday,Afternoon,0.7
49,Suzuki Alto,2021,17850,Electrical,Battery Drain,Minor,Battery,In Stock,Authorized,20,Dondra,Sunday,Evening,0.5
50,Suzuki Alto,2018,84144,Brake,Brake Shoe Wear,Moderate,Brake Shoes,In Stock,Authorized,5,Seethawaka,Thursday,Afternoon,2.2
51,Suzuki Alto,2022,24908,Engine,Radiator Fan Failure,Moderate,Fan Motor,In Stock,Authorized,19,Pasgoda,Tuesday,Afternoon,2.6
52,Suzuki Alto,2016,247904,Suspension,Steering Rack Rattle,Moderate,Steering Rack Bush,In Stock,Local,5,Welipitiya,Thursday,Evening,7.1
53,Suzuki Alto,2018,22877,Brake,Brake Pad Wear,Minor,Brake Pads,In Stock,Authorized,14,Devinuwara,Sunday,Evening,0.5
54,Suzuki Alto,2012,188505,Body,Rust Patch,Moderate,Tinkering/Painting,Order Required,Local,24,Havelock Town,Thursday,Morning,4.2
55,Suzuki Alto,2018,54810,AC,Blower Fan Issue,Minor,Blower Motor,In Stock,Local,9,Welipitiya,Friday,Evening,0.7
56,Suzuki Alto,2017,105220,Engine,Radiator Fan Failure,Moderate,Fan Motor,Order Required,Local,14,Paburana,Saturday,Afternoon,2.9
57,Suzuki Alto,2012,150962,Electrical,Check Engine Light,Minor,Sensor (O2/MAP),In Stock,Authorized,17,Nupe,Friday,Afternoon,0.6
58,Suzuki Alto,2011,195638,Suspension,Steering Rack Rattle,Moderate,Steering Rack Bush,In Stock,Local,4,Matara,Wednesday,Morning,6.5
59,Suzuki Alto,2013,147719,Electrical,Check Engine Light,Minor,Sensor (O2/MAP),Order Required,Local,2,Nawimana,Thursday,Afternoon,0.9
60,Suzuki Alto,2019,82817,Engine,Blown Head Gasket,Major,Head Gasket Set,In Stock,Local,2,Ratmalana,Saturday,Afternoon,67.1
61,Suzuki Alto,2022,79949,AC,No Cooling,Moderate,Refrigerant Gas,In Stock,Authorized,5,Dikwella,Tuesday,Morning,2.3
62,Suzuki Alto,2020,41288,AC,Blower Fan Issue,Minor,Blower Motor,In Stock,Local,14,Kirulapone,Sunday,Afternoon,0.5
63,Suzuki Alto,2013,170806,AC,Blower Fan Issue,Minor,Blower Motor,In Stock,Local,2,Welipitiya,Monday,Morning,0.7
64,Suzuki Alto,2012,112579,Brake,Brake Fluid Leak,Moderate,Brake Cylinder/Line,Order Required,Local,18,Kollupitiya,Saturday,Morning,1.9
65,Suzuki Alto,2021,45391,Electrical,Starter Motor Fault,Minor,Starter Motor,In Stock,Authorized,9,Nawimana,Saturday,Afternoon,1.1
66,Suzuki Alto,2018,108572,Transmission,Transmission Oil Leak,Moderate,Oil Seal,In Stock,Local,1,Kesbewa,Tuesday,Morning,3.9
67,Suzuki Alto,2016,331999,AC,Bad Smell,Minor,Evaporator Cleaning,In Stock,Local,5,Kamburupitiya,Thursday,Afternoon,0.8
68,Suzuki Alto,2016,132865,AC,No Cooling,Moderate,Refrigerant Gas,In Stock,Local,12,Nawimana,Friday,Morning,2.8
69,Suzuki Alto,2022,25692,Engine,Misfiring,Moderate,Spark Plugs/Coils,In Stock,Authorized,14,Gandara,Tuesday,Morning,1.9
70,Suzuki Alto,2021,31888,AC,Condenser Leak,Moderate,Condenser,In Stock,Authorized,15,Paburana,Thursday,Afternoon,2.5
71,Suzuki Alto,2019,66059,Suspension,Shock Absorber Leaking,Moderate,Shock Absorbers,In Stock,Local,19,Athuraliya,Saturday,Morning,1.8
72,Suzuki Alto,2016,98856,Electrical,Headlight Issue,Minor,Bulb/Fuse,In Stock,Authorized,19,Walgama,Tuesday,Morning,0.5
73,Suzuki Alto,2016,59238,Engine,Timing Belt Noise,Moderate,Timing Belt Kit,Order Required,Authorized,5,Kolonnawa,Thursday,Morning,6.1
74,Suzuki Alto,2021,87941,Electrical,Alternator Failure,Moderate,Alternator,In Stock,Authorized,18,Walgama,Tuesday,Evening,2.3
75,Suzuki Alto,2019,72748,AC,Bad Smell,Minor,Evaporator Cleaning,In Stock,Local,19,Thihagoda,Tuesday,Evening,0.5
76,Suzuki Alto,2018,89374,Engine,Blown Head Gasket,Major,Head Gasket Set,In Stock,Local,12,Ratmalana,Saturday,Morning,50.1
77,Suzuki Alto,2014,122801,Electrical,Headlight Issue,Minor,Bulb/Fuse,In Stock,Local,12,Seethawaka,Friday,Evening,0.5
78,Suzuki Alto,2021,20239,Suspension,Rim Bend,Moderate,Rim Repair,In Stock,Local,15,Padukka,Saturday,Evening,1.3
79,Suzuki Alto,2013,63369,Suspension,Steering Rack Rattle,Minor,Steering Rack Bush,In Stock,Local,13,Meddawatta,Saturday,Afternoon,2.3
80,Suzuki Alto,2021,39326,Electrical,Headlight Issue,Minor,Bulb/Fuse,In Stock,Local,16,Ratmalana,Friday,Morning,0.5
81,Suzuki Alto,2021,32759,Body,Paint Scratch,Minor,Touch-up Paint,In Stock,Authorized,7,Malimbada,Monday,Evening,1.2
82,Suzuki Alto,2017,234209,Body,Bumper Crack,Moderate,Bumper Repair,In Stock,Local,8,Thalalla,Saturday,Evening,3.1
83,Suzuki Alto,2013,148114,Electrical,Horn Not Working,Moderate,Horn Unit,In Stock,Local,15,Hiththetiya,Thursday,Morning,0.6
84,Suzuki Alto,2012,408873,Suspension,Rim Bend,Minor,Rim Repair,In Stock,Local,22,Kirinda Puhulwella,Monday,Evening,0.5
85,Suzuki Alto,2014,117781,Electrical,Rat Bite Damage,Moderate,Wiring Harness Repair,Order Required,Local,11,Hakmana,Sunday,Morning,3
86,Suzuki Alto,2017,131132,Brake,Brake Shoe Wear,Minor,Brake Shoes,In Stock,Local,22,Kotapola,Saturday,Morning,0.6
87,Suzuki Alto,2018,95908,Electrical,Headlight Issue,Minor,Bulb/Fuse,In Stock,Local,16,Gandara,Monday,Evening,0.5
88,Suzuki Alto,2021,110367,Suspension,CV Joint Noise,Moderate,CV Joint/Boot,In Stock,Authorized,16,Athuraliya,Saturday,Evening,2.8
89,Suzuki Alto,2013,303910,Brake,ABS Sensor Fault,Minor,ABS Sensor,In Stock,Authorized,6,Paburana,Thursday,Afternoon,0.6
90,Suzuki Alto,2011,56500,Suspension,Shock Absorber Leaking,Moderate,Shock Absorbers,In Stock,Local,13,Matara,Thursday,Evening,2.3
91,Suzuki Alto,2013,133060,Engine,Hard Starting,Major,Starter Motor/Battery,Order Required,Local,2,Dondra,Monday,Evening,3.5
92,Suzuki Alto,2022,25994,Engine,Radiator Cap Fault,Minor,Radiator Cap,In Stock,Authorized,12,Paburana,Thursday,Morning,0.5
93,Suzuki Alto,2019,190766,Engine,Blown Head Gasket,Major,Head Gasket Set,Order Required,Local,22,Matara,Thursday,Evening,29.3
94,Suzuki Alto,2022,25566,Electrical,Rat Bite Damage,Moderate,Wiring Harness Repair,In Stock,Authorized,7,Paburana,Wednesday,Evening,4.6
95,Suzuki Alto,2017,298113,Brake,ABS Sensor Fault,Minor,ABS Sensor,In Stock,Authorized,5,Mulatiyana,Tuesday,Morning,0.9
96,Suzuki Alto,2018,266957,Engine,Throttle Body Issue,Moderate,Throttle Body Cleaner,In Stock,Local,21,Athuraliya,Thursday,Evening,0.9
97,Suzuki Alto,2014,51563,Engine,Blown Head Gasket,Major,Head Gasket Set,In Stock,Local,6,Nupe,Saturday,Evening,52
98,Suzuki Alto,2017,115467,Body,Bumper Crack,Moderate,Bumper Repair,In Stock,Local,18,Kamburupitiya,Monday,Evening,2
99,Suzuki Alto,2013,64912,AC,Bad Smell,Minor,Evaporator Cleaning,In Stock,Local,23,Hiththetiya,Sunday,Evening,0.5
100,Suzuki Alto,2015,148697,Brake,Brake Pad Wear,Minor,Brake Pads,In Stock,Local,11,Bambalapitiya,Sunday,Evening,0.7
101,Suzuki Alto,2019,136604,Electrical,Horn Not Working,Minor,Horn Unit,In Stock,Authorized,14,Welipitiya,Wednesday,Morning,0.5
102,Suzuki Alto,2020,41082,Engine,Hard Starting,Minor,Starter Motor/Battery,In Stock,Local,25,Malimbada,Wednesday,Evening,0.5
103,Suzuki Alto,2019,32954,Electrical,Starter Motor Fault,Moderate,Starter Motor,In Stock,Authorized,5,Matara,Tuesday,Afternoon,2.9
104,Suzuki Alto,2020,70349,Brake,Brake Pad Wear,Minor,Brake Pads,In Stock,Authorized,13,Kollupitiya,Sunday,Afternoon,0.6
105,Suzuki Alto,2015,144683,Suspension,Bushings Worn,Moderate,Suspension Bush Kit,In Stock,Local,13,Kesbewa,Monday,Evening,3.4
106,Suzuki Alto,2011,155909,Engine,Engine Knocking,Major,Engine Overhaul Kit,In Stock,Local,10,Athuraliya,Wednesday,Afternoon,44.5
107,Suzuki Alto,2012,362677,Electrical,Starter Motor Fault,Major,Starter Motor,Order Required,Local,14,Malimbada,Tuesday,Morning,4.9
108,Suzuki Alto,2020,136856,Brake,Brake Pad Wear,Moderate,Brake Pads,In Stock,Authorized,7,Grandpass,Thursday,Morning,1.5
109,Suzuki Alto,2019,77383,Electrical,Starter Motor Fault,Minor,Starter Motor,In Stock,Local,25,Pallimulla,Thursday,Evening,0.6
110,Suzuki Alto,2015,149784,Engine,Radiator Cap Fault,Minor,Radiator Cap,In Stock,Local,8,Pasgoda,Thursday,Afternoon,0.5
111,Suzuki Alto,2011,89033,AC,No Cooling,Moderate,Refrigerant Gas,In Stock,Local,23,Akuressa,Thursday,Morning,1.8
112,Suzuki Alto,2022,33302,Body,Windshield Crack,Moderate,Windshield Glass,Order Required,Authorized,8,Akuressa,Sunday,Evening,3.3
113,Suzuki Alto,2016,96372,Engine,Hard Starting,Moderate,Starter Motor/Battery,In Stock,Local,12,Welipitiya,Monday,Afternoon,1.4
114,Suzuki Alto,2020,55138,Suspension,Shock Absorber Leaking,Moderate,Shock Absorbers,In Stock,Authorized,6,Thihagoda,Sunday,Morning,3.1
115,Suzuki Alto,2022,9379,Engine,Hard Starting,Moderate,Starter Motor/Battery,In Stock,Authorized,11,Kotapola,Monday,Afternoon,1.3
116,Suzuki Alto,2022,62155,Engine,Engine Knocking,Moderate,Engine Overhaul Kit,In Stock,Authorized,15,Devinuwara,Tuesday,Morning,15.4
117,Suzuki Alto,2011,320853,Brake,Disc Rotor Warped,Moderate,Disc Skimming,In Stock,Local,12,Welipitiya,Wednesday,Afternoon,2.1
118,Suzuki Alto,2014,94955,Engine,Blown Head Gasket,Major,Head Gasket Set,In Stock,Local,22,Matara,Tuesday,Evening,26.8
119,Suzuki Alto,2013,182498,Suspension,Bushings Worn,Minor,Suspension Bush Kit,In Stock,Authorized,6,Paburana,Thursday,Morning,2.1
120,Suzuki Alto,2016,98311,Engine,Hard Starting,Minor,Starter Motor/Battery,In Stock,Local,4,Kollupitiya,Wednesday,Afternoon,0.7
121,Suzuki Alto,2022,27496,Engine,Radiator Fan Failure,Moderate,Fan Motor,In Stock,Authorized,19,Ratmalana,Tuesday,Morning,3.4
122,Suzuki Alto,2016,112917,Engine,Hard Starting,Moderate,Starter Motor/Battery,In Stock,Local,8,Malimbada,Sunday,Evening,1.5
123,Suzuki Alto,2014,168859,Engine,Misfiring,Moderate,Spark Plugs/Coils,In Stock,Local,22,Paburana,Thursday,Afternoon,1.1
124,Suzuki Alto,2017,107688,Engine,Coolant Leak,Moderate,Radiator Hose/Pipe,In Stock,Local,17,Pasgoda,Thursday,Afternoon,1.8
125,Suzuki Alto,2016,47748,Engine,Radiator Cap Fault,Minor,Radiator Cap,Order Required,Local,10,Kotapola,Sunday,Afternoon,0.5
126,Suzuki Alto,2014,122761,AC,No Cooling,Major,Refrigerant Gas,In Stock,Authorized,19,Pitabeddara,Thursday,Afternoon,4.6
127,Suzuki Alto,2019,81350,Brake,Brake Fluid Leak,Major,Brake Cylinder/Line,In Stock,Authorized,6,Mulatiyana,Saturday,Afternoon,7.6
128,Suzuki Alto,2021,11989,Electrical,Alternator Failure,Major,Alternator,In Stock,Authorized,7,Devinuwara,Saturday,Afternoon,8.8
129,Suzuki Alto,2017,115666,Body,Paint Scratch,Minor,Touch-up Paint,In Stock,Authorized,10,Paburana,Friday,Evening,1.3
130,Suzuki Alto,2016,93811,Electrical,Power Window Stuck,Moderate,Window Motor/Regulator,In Stock,Authorized,17,Paburana,Sunday,Afternoon,1.5
131,Suzuki Alto,2015,54209,Brake,Brake Pad Wear,Minor,Brake Pads,Order Required,Local,24,Kollupitiya,Thursday,Morning,0.5
132,Suzuki Alto,2011,185149,Engine,Engine Knocking,Major,Engine Overhaul Kit,In Stock,Local,1,Bambalapitiya,Friday,Evening,68.7
133,Suzuki Alto,2017,42290,Engine,Timing Belt Noise,Moderate,Timing Belt Kit,In Stock,Authorized,16,Nawimana,Thursday,Evening,4.2
134,Suzuki Alto,2017,71388,Engine,Blown Head Gasket,Major,Head Gasket Set,In Stock,Local,19,Thihagoda,Sunday,Afternoon,40.4
135,Suzuki Alto,2017,90288,AC,Compressor Noise,Moderate,Compressor,In Stock,Local,15,Dikwella,Wednesday,Morning,4.3
136,Suzuki Alto,2020,60088,Brake,Disc Rotor Warped,Major,Disc Skimming,In Stock,Local,16,Pasgoda,Friday,Morning,3.8
137,Suzuki Alto,2013,141583,Suspension,Steering Rack Rattle,Major,Steering Rack Bush,In Stock,Local,2,Kesbewa,Thursday,Evening,14.2
138,Suzuki Alto,2014,148323,Electrical,Horn Not Working,Minor,Horn Unit,In Stock,Authorized,7,Kirulapone,Saturday,Morning,0.5
139,Suzuki Alto,2012,232197,Engine,Misfiring,Moderate,Spark Plugs/Coils,Order Required,Local,10,Malimbada,Tuesday,Morning,1.6
140,Suzuki Alto,2021,10641,Engine,Blown Head Gasket,Major,Head Gasket Set,In Stock,Authorized,20,Havelock Town,Sunday,Afternoon,38.2
141,Suzuki Alto,2017,105426,Electrical,Alternator Failure,Major,Alternator,In Stock,Local,7,Weligama,Monday,Evening,8.9
142,Suzuki Alto,2019,200744,AC,Blower Fan Issue,Moderate,Blower Motor,In Stock,Authorized,14,Akuressa,Monday,Afternoon,1.2
143,Suzuki Alto,2013,81555,AC,No Cooling,Minor,Refrigerant Gas,In Stock,Authorized,7,Pasgoda,Friday,Afternoon,1.2
144,Suzuki Alto,2021,133295,AC,Compressor Noise,Moderate,Compressor,In Stock,Local,25,Seethawaka,Tuesday,Morning,3
145,Suzuki Alto,2018,63503,Electrical,Starter Motor Fault,Major,Starter Motor,In Stock,Authorized,17,Paburana,Monday,Evening,4.2
146,Suzuki Alto,2022,77713,Engine,Oil Leak (Gasket),Minor,Valve Cover Gasket,In Stock,Authorized,7,Pasgoda,Friday,Evening,2
147,Suzuki Alto,2021,42987,Engine,Timing Belt Noise,Moderate,Timing Belt Kit,In Stock,Authorized,5,Modara,Friday,Afternoon,4.4
148,Suzuki Alto,2016,59900,Suspension,Shock Absorber Leaking,Moderate,Shock Absorbers,Order Required,Local,10,Grandpass,Wednesday,Afternoon,2.4
149,Suzuki Alto,2013,141697,Electrical,Battery Drain,Minor,Battery,Order Required,Local,10,Malimbada,Wednesday,Evening,0.5
150,Suzuki Alto,2016,236667,Body,Windshield Crack,Major,Windshield Glass,In Stock,Local,24,Athuraliya,Monday,Evening,6.1
151,Suzuki Alto,2022,66555,Electrical,Starter Motor Fault,Major,Starter Motor,Order Required,Local,17,Pasgoda,Wednesday,Afternoon,4.8
152,Suzuki Alto,2011,247682,Brake,Brake Pad Wear,Moderate,Brake Pads,In Stock,Local,24,Padukka,Sunday,Afternoon,0.8
153,Suzuki Alto,2015,67336,Brake,ABS Sensor Fault,Moderate,ABS Sensor,In Stock,Local,23,Mulatiyana,Sunday,Morning,0.8
154,Suzuki Alto,2013,116790,Brake,Brake Shoe Wear,Moderate,Brake Shoes,In Stock,Local,9,Pitabeddara,Saturday,Evening,2.2
155,Suzuki Alto,2011,100749,Suspension,Shock Absorber Leaking,Minor,Shock Absorbers,In Stock,Local,18,Mulatiyana,Wednesday,Afternoon,1.1
156,Suzuki Alto,2017,134417,Electrical,Alternator Failure,Moderate,Alternator,Order Required,Local,25,Nupe,Wednesday,Afternoon,2.2
157,Suzuki Alto,2013,118666,Suspension,CV Joint Noise,Minor,CV Joint/Boot,In Stock,Local,1,Modara,Tuesday,Afternoon,2.3
158,Suzuki Alto,2011,627603,Engine,Thermostat Stuck,Moderate,Thermostat Valve,Order Required,Local,22,Borella,Saturday,Morning,2.1
159,Suzuki Alto,2016,125694,Engine,Thermostat Stuck,Moderate,Thermostat Valve,In Stock,Local,6,Modara,Sunday,Afternoon,4.6
160,Suzuki Alto,2019,186721,Electrical,Starter Motor Fault,Moderate,Starter Motor,In Stock,Local,14,Dehiwala,Sunday,Afternoon,2.7
161,Suzuki Alto,2011,212475,Engine,Thermostat Stuck,Moderate,Thermostat Valve,In Stock,Authorized,14,Thalalla,Saturday,Evening,3.2
162,Suzuki Alto,2017,94948,Engine,Coolant Leak,Minor,Radiator Hose/Pipe,In Stock,Local,20,Akuressa,Wednesday,Morning,0.6
163,Suzuki Alto,2019,58933,Engine,Radiator Cap Fault,Minor,Radiator Cap,In Stock,Authorized,9,Pitabeddara,Tuesday,Evening,0.5
164,Suzuki Alto,2012,88261,Electrical,Alternator Failure,Major,Alternator,In Stock,Local,15,Seethawaka,Friday,Evening,6.8
165,Suzuki Alto,2012,380275,Brake,ABS Sensor Fault,Minor,ABS Sensor,In Stock,Local,25,Pitabeddara,Sunday,Morning,0.5
166,Suzuki Alto,2011,177919,Engine,Radiator Cap Fault,Moderate,Radiator Cap,In Stock,Local,19,Walgama,Sunday,Afternoon,0.5
167,Suzuki Alto,2019,86208,Brake,Brake Fluid Leak,Major,Brake Cylinder/Line,In Stock,Authorized,9,Slave Island,Thursday,Afternoon,7.3
168,Suzuki Alto,2014,157900,Electrical,Starter Motor Fault,Minor,Starter Motor,In Stock,Local,17,Devinuwara,Thursday,Morning,1.1
169,Suzuki Alto,2011,546910,Engine,Radiator Cap Fault,Moderate,Radiator Cap,In Stock,Local,19,Matara,Tuesday,Afternoon,0.6
170,Suzuki Alto,2011,209338,Electrical,Horn Not Working,Minor,Horn Unit,In Stock,Local,11,Weligama,Saturday,Evening,0.5
171,Suzuki Alto,2020,19980,AC,Blower Fan Issue,Minor,Blower Motor,Order Required,Authorized,5,Dehiwala,Friday,Evening,0.8
172,Suzuki Alto,2020,38964,Suspension,Bushings Worn,Minor,Suspension Bush Kit,In Stock,Authorized,16,Mulatiyana,Wednesday,Morning,1.6
173,Suzuki Alto,2021,56209,Transmission,Clutch Slipping,Moderate,Clutch Plate Set,Order Required,Authorized,7,Borella,Tuesday,Morning,7.1
174,Suzuki Alto,2013,440120,Engine,Coolant Leak,Major,Radiator Hose/Pipe,In Stock,Local,1,Malimbada,Saturday,Evening,6.4
175,Suzuki Alto,2017,21597,Engine,Engine Knocking,Major,Engine Overhaul Kit,In Stock,Local,9,Pasgoda,Saturday,Morning,41.9
176,Suzuki Alto,2022,32433,Body,Paint Scratch,Moderate,Touch-up Paint,In Stock,Authorized,13,Nawimana,Wednesday,Morning,2.1
177,Suzuki Alto,2021,35665,Engine,Hard Starting,Minor,Starter Motor/Battery,In Stock,Authorized,15,Meddawatta,Sunday,Evening,0.5
178,Suzuki Alto,2022,31545,Electrical,Horn Not Working,Minor,Horn Unit,In Stock,Authorized,19,Welipitiya,Tuesday,Afternoon,0.5
179,Suzuki Alto,2020,43559,Electrical,Alternator Failure,Moderate,Alternator,In Stock,Authorized,6,Thalalla,Sunday,Morning,3
180,Suzuki Alto,2019,71862,Brake,Brake Shoe Wear,Moderate,Brake Shoes,In Stock,Authorized,17,Weligama,Tuesday,Morning,1.7
181,Suzuki Alto,2020,17259,Electrical,Power Window Stuck,Moderate,Window Motor/Regulator,Order Required,Local,19,Dondra,Friday,Afternoon,1.7
182,Suzuki Alto,2021,31491,Body,Windshield Crack,Moderate,Windshield Glass,In Stock,Authorized,9,Hakmana,Thursday,Evening,3.8
183,Suzuki Alto,2018,279122,Electrical,Rat Bite Damage,Minor,Wiring Harness Repair,Order Required,Authorized,8,Thalalla,Monday,Morning,2.1
184,Suzuki Alto,2012,183681,AC,Bad Smell,Minor,Evaporator Cleaning,In Stock,Local,19,Kamburupitiya,Monday,Morning,0.6
185,Suzuki Alto,2018,79517,AC,Condenser Leak,Minor,Condenser,Order Required,Local,18,Pallimulla,Wednesday,Afternoon,1.2
